Row,References,Part,Value,P/N,Manufacture,Source,Supplier P/N,Link,Footprint,Description,Quantity Per PCB
1,C101 C102 C103 C104 C105 C107 C108 C109 C110 C111 C112 C113 C114 C115 C116 C201 C202 C203 C204 C205 C206 C207 C208 C301 C302 C303 C304 C401,C,100 nF,CL05B104KB54PNC CL10A105KB8NNNC 0402B472K500NT,Samsung Electro-Mechanics FH (Guangdong Fenghua Advanced Tech),JLCPCB,,https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331 https://jlcpcb.com/partdetail/1906-0402CG200J500NT/C1554 https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850 https://jlcpcb.com/partdetail/1899-0402CG120J500NT/C1547 https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849 https://jlcpcb.com/partdetail/1890-0402B472K500NT/C1538,C_0402_1005Metric,Unpolarized capacitor,28
2,C106,C_Polarized,1 F,,,TME,,https://www.tme.eu/en/details/scv1f-3.0v-ltz/supercapacitors/spscap/scv0001c0-003r0ltz/,CP_Radial_D8.0mm_P3.50mm,Polarized capacitor,1
3,D101,1N4148W,1N4148WS,,,JLCPCB,,https://jlcpcb.com/partdetail/2485-1N4148WS/C2128,D_SOD-323,"75V 0.15A Fast Switching Diode, SOD-123",1
4,D102 D103 D104 D105 D106 D301,LED,LED,KT-0603R,Hubei KENTO Elec,JLCPCB,,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286,LED_0603_1608Metric,Light emitting diode,6
5,D201 D202 D203 D204 D205 D206 D207 D208 D209 D210 D211 D212 D213 D214 D401 D402,LED_Dual_KAAK,RI,,,JLCPCB,,https://jlcpcb.com/partdetail/TOGIALED-TJ_S3528UG1W9TLC2R2GA5/C601701,LED_Kingbright_AAA3528ESGCT,"Dual LED, cathodes on pins 1 and 4",16
6,J401,DE9_Pins_MountingHoles,CAN,,,,,,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,"9-pin D-SUB connector, pins (male), Mounting Hole",1
7,J402,Conn_01x02,CAN,236-402,WAGO Corporation,,2946-236-402-ND,,TerminalBlock_WAGO_236-402_1x02_P5.00mm_45Degree,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",1
8,J201 J202,DE9_Socket_MountingHoles,Debug,,,,,,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,"9-pin D-SUB connector, socket (female), Mounting Hole",2
9,J203,Conn_01x04,RS-485/422,,,,,,TerminalBlock_WAGO_236-404_1x04_P5.00mm_45Degree,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",1
10,J102 J301,USB_C_Receptacle_USB2.0_16P,USB,,,JLCPCB,,https://jlcpcb.com/partdetail/GSwitch-GT_USB7010ASV/C2988369,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,USB 2.0-only 16P Type-C Receptacle connector,2
11,JP403,Jumper_2_Open,CAN_GND,,,,,,PinHeader_1x02_P2.54mm_Vertical,"Jumper, 2-pole, open",1
12,R406 R408,R,60 Ω,1206W4F604JT5E,UNI-ROYAL(Uniroyal Elec),JLCPCB,,https://jlcpcb.com/partdetail/58608-1206W4F604JT5E/C57572,R_1206_3216Metric,Resistor,2
13,R405 R407,R,100 Ω,0402WGF1000TCE,UNI-ROYAL(Uniroyal Elec),JLCPCB,,https://jlcpcb.com/partdetail/25819-0402WGF1000TCE/C25076,R_0402_1005Metric,Resistor,2
