"Designator","MPN","Quantity Per PCB","Link"
"C103,C104","","2","https://jlcpcb.com/partdetail/1899-0402CG120J500NT/C1547"
"C101,C102","","2","https://jlcpcb.com/partdetail/1906-0402CG200J500NT/C1554"
"C401","0402B472K500NT","1","https://jlcpcb.com/partdetail/1890-0402B472K500NT/C1538"
"C106,C108,C110,C111,C113,C114,C115,C116,C201,C202,C203,C204,C205,C206,C207,C208,C303,C304","CL05B104KB54PNC","18","https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331"
"C301,C302","CL10A105KB8NNNC","2","https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849"
"C107,C109,C112","","3","https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850"
"D101","","1","https://jlcpcb.com/partdetail/2485-1N4148WS/C2128"
"D102,D103,D104,D105,D106,D301","KT-0603R","6","https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286"
"D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D401,D402","","16","https://jlcpcb.com/partdetail/TOGIALED-TJ_S3528UG1W9TLC2R2GA5/C601701"
"FB101,FB102,FB201,FB202,FB301,FB401","GZ1608D601TF","6","https://jlcpcb.com/partdetail/Sunlord-GZ2012D101TF/C1015"
"J101,J301","","2","https://jlcpcb.com/partdetail/GSwitch-GT_USB7010ASV/C2988369"
"R213,R214,R215,R216","","4","https://jlcpcb.com/partdetail/17853-0402WGF0000TCE/C17168"
"R107","","1","https://jlcpcb.com/partdetail/18646-1206W4F220JT5E/C17958"
"R108,R109","","2","https://jlcpcb.com/partdetail/25848-0402WGF330JTCE/C25105"
"R405,R406","1206W4F604JT5E","2","https://jlcpcb.com/partdetail/58608-1206W4F604JT5E/C57572"
"R407,R408","0402WGF1000TCE","2","https://jlcpcb.com/partdetail/25819-0402WGF1000TCE/C25076"
"R101,R110,R111,R112,R113,R114,R116,R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R217,R218,R219,R220,R221,R222,R223,R224,R225,R226,R227,R228,R229,R230,R231,R232,R303,R401,R402,R403,R404","0402WGF1001TCE","40","https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702"
"R102,R103,R104,R105,R301,R302","","6","https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905"
"R115","","1","https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744"
"R106","","1","https://jlcpcb.com/partdetail/26826-0402WGF1004TCE/C26083"
"U201","","1","https://jlcpcb.com/partdetail/MaxLinear-SP213EEA_LTR/C415725"
"U105","","1","https://jlcpcb.com/partdetail/Advanced_MonolithicSystems-AMS1117_33/C6186"
"U104","ATECC608B-MAVDA-S","1","https://jlcpcb.com/partdetail/MicrochipTech-ATECC608B_MAHDAT/C17561150"
"U303","CH340N","1","https://jlcpcb.com/partdetail/TorexSemicon-XC6206P332MRG/C5446"
"U101,U106","","2","https://jlcpcb.com/partdetail/STMicroelectronics-M24C64RMN6TP/C79988"
"U202","","1","https://jlcpcb.com/partdetail/MaxLinear-SP330EEY_LTR/C916084"
"U103","","1","https://jlcpcb.com/partdetail/STMicroelectronics-STM32G431RBT6/C431633"
"U401","TJA1042T/1J","1","https://jlcpcb.com/partdetail/NXPSemicon-TJA1042T1J/C53670"
"U102,U301","USBLC6-2SC6","2","https://jlcpcb.com/partdetail/2790619-USBLC62SC6/C2687116"
"U302","XC6206P332MR-G","1","https://jlcpcb.com/partdetail/WCH_Jiangsu_Qin_Heng-CH340N/C2977777"
"Y102","","1","https://jlcpcb.com/partdetail/SeikoEpson-Q13FC13500004/C32346"
"Y101","","1","https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X50328MSB2GI/C115962"
