Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","100n","C_0402_1005Metric",120.2000,-107.0000,90.0000,top
"C102","100n","C_0402_1005Metric",118.5550,-118.8250,180.0000,top
"C103","100n","C_0402_1005Metric",130.5000,-119.8750,0.0000,top
"C104","100n","C_0402_1005Metric",117.6000,-109.2500,90.0000,top
"C105","100n","C_0402_1005Metric",100.0350,-25.0000,90.0000,top
"C107","20p","C_0402_1005Metric",111.2500,-114.0000,0.0000,top
"C108","10µ","C_0805_2012Metric",131.0000,-91.0000,180.0000,top
"C109","10µ","C_0805_2012Metric",131.0000,-88.7500,180.0000,top
"C110","10µ","C_0805_2012Metric",137.2500,-78.2500,180.0000,top
"C111","100n","C_0402_1005Metric",137.2500,-76.5000,180.0000,top
"C112","100n","C_0402_1005Metric",126.4800,-121.5000,180.0000,top
"C113","20p","C_0402_1005Metric",111.2500,-115.5000,0.0000,top
"C114","12p","C_0402_1005Metric",109.2500,-110.5000,0.0000,top
"C115","12p","C_0402_1005Metric",109.2700,-111.7500,0.0000,top
"C116","100n","C_0402_1005Metric",131.4000,-109.1750,0.0000,top
"C201","100n","C_0402_1005Metric",112.6000,-48.2000,0.0000,top
"C202","100n","C_0402_1005Metric",111.0000,-39.0000,0.0000,top
"C203","100n","C_0402_1005Metric",109.8000,-49.9500,180.0000,top
"C204","100n","C_0402_1005Metric",109.0000,-39.0000,180.0000,top
"C205","100n","C_0402_1005Metric",110.4000,-51.2000,180.0000,top
"C206","100n","C_0402_1005Metric",112.5000,-59.5000,270.0000,top
"C207","100n","C_0402_1005Metric",109.4000,-61.2000,270.0000,top
"C208","100n","C_0402_1005Metric",111.0000,-60.6000,0.0000,top
"C301","1µ","C_0603_1608Metric",128.2500,-158.9300,90.0000,top
"C302","1µ","C_0603_1608Metric",121.0000,-158.1800,180.0000,top
"C303","100n","C_0402_1005Metric",121.0000,-156.7500,180.0000,top
"C304","100n","C_0402_1005Metric",115.2500,-166.0000,270.0000,top
"C401","4n7","C_0402_1005Metric",123.0000,-145.5000,270.0000,top
"D101","1N4148WS","D_SOD-323",118.2000,-95.9527,0.0000,top
"D102","LED","LED_0603_1608Metric",129.5375,-24.5000,0.0000,top
"D103","LED","LED_0603_1608Metric",126.7875,-81.0000,0.0000,top
"D104","LED","LED_0603_1608Metric",126.7875,-83.5000,0.0000,top
"D105","LED","LED_0603_1608Metric",126.7875,-86.0000,0.0000,top
"D106","LED","LED_0603_1608Metric",126.7875,-88.5000,0.0000,top
"D201","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-30.0000,0.0000,top
"D202","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-35.0000,0.0000,top
"D203","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-40.0000,0.0000,top
"D204","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-45.0000,0.0000,top
"D205","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-50.0000,0.0000,top
"D206","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-55.0000,0.0000,top
"D207","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-60.0000,0.0000,top
"D208","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-65.0000,0.0000,top
"D209","RI","LED_Kingbright_AAA3528ESGCT",107.7500,-91.0000,0.0000,top
"D210","RI","LED_Kingbright_AAA3528ESGCT",107.7500,-85.0000,0.0000,top
"D211","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-70.0000,0.0000,top
"D212","RI","LED_Kingbright_AAA3528ESGCT",107.7500,-78.7500,0.0000,top
"D213","RI","LED_Kingbright_AAA3528ESGCT",107.7500,-72.5000,0.0000,top
"D214","RI","LED_Kingbright_AAA3528ESGCT",130.0000,-75.0000,0.0000,top
"D301","LED","LED_0603_1608Metric",124.5000,-155.2500,180.0000,top
"D401","RI","LED_Kingbright_AAA3528ESGCT",136.7500,-137.0000,90.0000,top
